"entity","year","records","organization_type","method","sources"
"Betfair","2010",2300000,"Web","hacked","[23]"
"Colorado government","2010",105470,"Healthcare","lost / stolen computer","[52]"
"Educational Credit Management Corporation","2010",3300000,"Financial","lost / stolen media","[71]"
"Embassy Cables","2010",251000,"Government","inside job","[73]"
"Emergency Healthcare Physicians Ltd.","2010",180111,"Healthcare","lost / stolen media","[72][74]"
"Federal Reserve Bank of Cleveland","2010",400000,"Financial","hacked","[23]"
"Gawker","2010",1500000,"Web","hacked","[91][92]"
"JP Morgan Chase","2010",2600000,"Financial","lost / stolen media","[120]"
"Lincoln Medical & Mental Health Center","2010",130495,"Healthcare","lost / stolen media","[72][130]"
"New York City Health & Hospitals Corp.","2010",1700000,"Healthcare","lost / stolen media","[72]"
"Ohio State University","2010",760000,"Academic","hacked","[23]"
"Puerto Rico Department of Health","2010",515000,"Healthcare","hacked","[72]"
"Seacoast Radiology PA","2010",231400,"Healthcare","hacked","[72][173]"
"South Shore Hospital Massachusetts","2010",800000,"Healthcare","lost / stolen media","[23]"
"Triple-S Salud Inc.","2010",398000,"Healthcare","lost / stolen media","[72]"
"U.S. Army","2010",392000,"Government","inside job","[226]"
"Yale University","2010",43000,"Academic","accidentally published","[23]"
"Affinity Health Plan Inc.","2009",344579,"Healthcare","lost / stolen media","[11]"
"AvMed Inc.","2009",1220000,"Healthcare","lost / stolen computer","[28]"
"BlueCross BlueShield of Tennessee","2009",1023209,"Healthcare","lost / stolen media","[36]"
"CheckFree Corporation","2009",5000000,"Financial","hacked","[45]"
"Health Net","2009",500000,"Healthcare","lost / stolen media","[105]"
"Heartland","2009",130000000,"Financial","hacked","[107][108]"
"Network Solutions","2009",573000,"Tech","hacked","[151][152]"
"RockYou!","2009",32000000,"Web Gaming","hacked","[167]"
"University of California Berkeley","2009",160000,"Academic","hacked","[221]"
"Virginia Department of Health","2009",8257378,"Government Healthcare","hacked","[23]"
"Virginia Prescription Monitoring Program","2009",531400,"Healthcare","hacked","[23]"
"AT&T","2008",113000,"Telecoms","lost / stolen computer","[23]"
"Auction.co.kr","2008",18000000,"Web","hacked","[25]"
"Credit Card Companies","2008",8000000,"Financial","hacked","[60]"
